pool_address,y_revenue,x_cost,z_wash_trade,old_profit,true_profit
0x29f1e62f0f9976b2993fb0ddb3674d2538d8cf15,0.998727935,1.0280494550000001,0.0,-0.0293215200000001,-0.0293215200000001
0x2cd9761326a60bc7051079da17a406ab708b2988,0.9990391641164379,1.0276870200000001,0.0,-0.028647855883562223,-0.028647855883562223
0xc654fc420269af71331b3d40ff06914221efc7af,0.9990806370147844,1.02768714,0.0,-0.02860650298521561,-0.02860650298521561
0xdc0590d7e99d114d05d3b572236c936fce15e249,1.0010381327567286,1.02768714,0.0,-0.02664900724327146,-0.02664900724327146
0x1fb16e4de8cf35134f77b3829bc8ec8c674c1c01,1.0083626138842816,1.02768714,0.0,-0.019324526115718443,-0.019324526115718443
0x8d7fc36f2e0dd3e5321c776b79748cbb5ab993da,1.0087421199752473,1.02805676,0.0,-0.019314640024752583,-0.019314640024752583
0xf944bcbd635b809bde35aebfc53c5126481c1b05,1.0203725745593537,1.02805676,0.01033957703045409,-0.007684185440646196,-0.018023762471100286
0x09d3bc52a78a8b89a7339ef4eca4a6206dd62114,1.0190300504313285,1.02768714,0.0,-0.008657089568671505,-0.008657089568671505
0xc29954278bdd3133e3ffa8cea5e4f715bafc300c,1.0211493428553746,1.02768714,0.0,-0.006537797144625435,-0.006537797144625435
0x0b52efc666942635d9b6c122fbee03cc491cacf2,1.0240144111290834,1.02768714,0.0,-0.0036727288709166306,-0.0036727288709166306
0xf2cd9f45f574fbfaddc3eb89697aa6021ef75ffb,1.021733581456346,1.025149015,0.0,-0.003415433543654034,-0.003415433543654034
0xd0152eb8adeb3b7db0e7f608f14a53dd1b7f3f75,1.73574525745731,1.02805676,0.7030065054429638,0.7076884974573101,0.00468199201434627
0x50837766b5a2bc47b51e622abcf2351d1a8bc2da,1.0480170104102884,1.02768714,0.0,0.02032987041028833,0.02032987041028833
0x3f4dc63e775c3d5eab9d52a27e988aa697396bdc,1.048200217016878,1.02768744,0.0,0.020512777016878037,0.020512777016878037
0x7c18e4eb1596a8aa9b20dc43e0ef3bbc6c3bcda7,1.0542996471310255,1.02768714,0.0,0.026612507131025476,0.026612507131025476
0x3ae099031d9b7792e34beb80dda59eac1eb592bb,1.1611582716252258,1.025149315,0.0,0.13600895662522583,0.13600895662522583
