File Name,Avg True Profit,Avg Naive Profit,Median True Profit,Median Naive Profit,Total True Profit,Total Naive Profit,Min True Profit,Min Naive Profit,Max True Profit,Max Naive Profit,Num Positive True Profits,Num Positive Naive Profits
cluster_1007.csv,-1.4063024918999196,-1.0767318041874199,-1.0283970975,-1.0283970975,-112.50419935199358,-86.13854433499358,-8.0845665576,-8.0427093176,-0.0267596600000024,0.4647444951185062,0,1
cluster_9511.csv,0.09574477175236064,0.09574477175236064,0.0321567455406666,0.0321567455406666,8.90426377296954,8.90426377296954,-0.0341426100000173,-0.0341426100000173,1.3860933794574013,1.3860933794574013,61,61
cluster_5505.csv,-0.03787307366854724,0.13031147159726472,-0.0299602673208811,0.0526466528727342,-0.7195883997023975,2.47591796034803,-0.2863085422990457,-0.0245321747785367,0.0403845837915274,0.8207372523479588,2,12
cluster_3005.csv,0.04047449255656402,0.04824868087187652,0.0040549442412336,0.02220933132176125,1.2951837618100486,1.5439577879000486,-0.0434963095665634,-0.0206611601464281,0.4245155174287447,0.4245155174287447,18,20
cluster_1001.csv,-0.0014156595223880598,-0.0014156595223880598,-0.001148755,-0.001148755,-0.28454756400000003,-0.28454756400000003,-0.017011743,-0.017011743,-0.001148695,-0.001148695,0,0
cluster_5502.csv,0.056217836057245896,0.10912186400073268,0.0048852669166464,0.0102904390598891,5.2282587533238685,10.14833335206814,-0.0755994277764974,-0.0730177473064426,1.6207405928168324,1.9057397678168324,48,52
cluster_11508.csv,-45.292220755,-7.555383896333334,-44.64219111999999,-8.022050315,-1358.76662265,-226.66151689,-52.781205584999995,-8.022051245,-40.266024135,-7.022050165,0,0
cluster_10001.csv,-0.0038265853617021274,-0.0038265853617021274,-0.003311502,-0.003311502,-0.179849512,-0.179849512,-0.00552291,-0.00552291,-0.003302799,-0.003302799,0,0
cluster_9006.csv,0.0009984524591422368,0.04558258261373087,-0.00759744335664845,-0.0071109912926357495,0.015975239346275788,0.7293213218196939,-0.0293215200000001,-0.0293215200000001,0.1360089566252258,0.7076884974573101,5,5
cluster_4508.csv,-0.020002360227934397,-0.020002360227934397,-0.020002360227934397,-0.020002360227934397,-0.040004720455868795,-0.040004720455868795,-0.0201521150009982,-0.0201521150009982,-0.0198526054548706,-0.0198526054548706,0,0
cluster_7001.csv,-0.017446201714285712,-0.017446201714285712,-0.017957247,-0.017957247,-0.12212341199999999,-0.12212341199999999,-0.018363771,-0.018363771,-0.016265832,-0.016265832,0,0
cluster_12006.csv,-0.022398324396825396,-0.022398324396825396,-0.020008404,-0.020008404,-1.411094437,-1.411094437,-0.04268437,-0.04268437,-0.009372831,-0.009372831,0,0
cluster_4504.csv,0.09402926775910007,0.09402926775910007,0.0439467119235781,0.0439467119235781,4.889521923473204,4.889521923473204,-0.0154111707054789,-0.0154111707054789,0.5165045970022994,0.5165045970022994,32,32
cluster_4510.csv,0.013349999866753455,0.013349999866753455,-0.0050283871492613,-0.0050283871492613,0.12014999880078109,0.12014999880078109,-0.0242638342435439,-0.0242638342435439,0.0947784293700109,0.0947784293700109,4,4
cluster_8504.csv,-0.008636215000000001,-0.008636215000000001,-0.00953416,-0.00953416,-0.034544860000000004,-0.034544860000000004,-0.00953425,-0.00953425,-0.00594229,-0.00594229,0,0
cluster_8505.csv,0.292803529053544,0.292803529053544,0.054458890101273,0.054458890101273,6.441677639177968,6.441677639177968,-0.0239445299999943,-0.0239445299999943,1.5732459624014723,1.5732459624014723,15,15
cluster_2002.csv,0.0361637422058328,0.0372592115736846,0.02095119803695585,0.02314213677265945,0.1446549688233312,0.1490368462947384,-0.0436126898920049,-0.0436126898920049,0.1463652626414244,0.1463652626414244,2,2
cluster_2003.csv,-0.015881871585365855,-0.015881871585365855,-0.015958302,-0.015958302,-0.651156735,-0.651156735,-0.017482821,-0.017482821,-0.013636389,-0.013636389,0,0
cluster_8516.csv,0.09316864636497418,0.09316864636497418,0.0380434210747859,0.0380434210747859,7.1739857701030125,7.1739857701030125,-0.026387755,-0.026387755,1.2816593588049483,1.2816593588049483,54,54
cluster_2007.csv,0.04270353701953098,0.5674421805436346,-0.0038844280233993,0.3903133109198862,3.92872540579685,52.204680610014385,-0.3265420603175303,-0.0203080379698017,0.8299617153749813,1.9974094941060103,44,91
cluster_8503.csv,0.06762759105386938,0.06847412143848476,0.0175458045477969,0.0175458045477969,1.7583173674006038,1.7803271574006039,-0.0406728200000017,-0.0406728200000017,0.2062567016173038,0.2062567016173038,16,16
cluster_4503.csv,-0.019512405000000003,-0.019512405000000003,-0.01841025,-0.01841025,-0.09756202500000001,-0.09756202500000001,-0.025849821,-0.025849821,-0.009042402,-0.009042402,0,0
cluster_4517.csv,-0.040462597142857146,-0.040462597142857146,-0.039521025,-0.039521025,-0.56647636,-0.56647636,-0.056699655,-0.056699655,-0.02665105,-0.02665105,0,0
cluster_4501.csv,-0.02127961875,-0.02127961875,-0.021044724,-0.021044724,-0.085118475,-0.085118475,-0.022009575,-0.022009575,-0.021019452,-0.021019452,0,0
cluster_8501.csv,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,-0.0263920952688068,0,0
cluster_2004.csv,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,-0.0262513995445395,0,0
