pool_address,y,x,z,true_profit,naive_profit
0xf9e3d0e43cf431ffbb8919b79e58df1209b8308c,0.0,8.0427093176,0.04185724,-8.0845665576,-8.0427093176
0x13eefbfcfce7bef669432ca4bc2c5f41c945d06d,0.0,1.04319367,3.9477731499999993,-4.990966819999999,-1.04319367
0xe14b27610581cf35857637852c9d16084d0c2c06,0.0,1.04319319,3.798304901999998,-4.841498091999998,-1.04319319
0xbb5442b10309fe2229e66b2325b10ec356020796,0.0,1.04319289,3.610919669999998,-4.654112559999998,-1.04319289
0xf9f29fd3a208105df4ba30e97ac35662b863d764,0.0,1.04319295,2.86948379,-3.91267674,-1.04319295
0x44b912cbfb02838afcecac32fa20a9c670e3928b,0.0,1.04319313,2.73776972,-3.78096285,-1.04319313
0xa856c28c476a3986b66bc38c256ef891b9d42acd,0.0,1.04319319,2.33410265,-3.3772958400000004,-1.04319319
0xda9bd72994d0549dd03c88a204e4b2167746cd2e,0.0,1.04319355,2.0651066099999995,-3.10830016,-1.04319355
0xb9a025fcd7cde51ab8fc7882bece3e77be9a14f7,0.0,1.04319325,1.631075285,-2.674268535,-1.04319325
0xbe79d97ad417fbe2a957b7e8a9e9848568eb906f,0.0,1.228396915,0.0,-1.228396915,-1.228396915
0x14e2e7a3765576af0f1b864e4c1ee1f4954147c2,0.0,1.0426943908,0.07932623,-1.1220206208,-1.0426943908
0xec707ac8e6835917d652244145f80150cec58276,0.0,1.02839848,0.0,-1.02839848,-1.02839848
0xd1365279667840f1ea95d6c0e5686b0b8744c9dc,0.0,1.02839776,0.0,-1.02839776,-1.02839776
0xf7e6c92394f650915303f6b4a6ffd66f31a80e3b,0.0,1.02839776,0.0,-1.02839776,-1.02839776
0xc0729a01093d11996a854c88a627672752833a64,0.0,1.0283977,0.0,-1.0283977,-1.0283977
0x5700c94606f2cded0b262194ff44af4e26c9c42d,0.0,1.0283977,0.0,-1.0283977,-1.0283977
0x879fae98e8ce950df390adf4e123298b81bd3560,0.0,1.028397575,0.0,-1.028397575,-1.028397575
0xbe4282112fcca7c4237a74db05e532755f424374,0.0,1.0283975200000002,0.0,-1.0283975200000002,-1.0283975200000002
0x00dfe4e1d0a429c2427dbe93675131606ee16cec,0.0,1.02839752,0.0,-1.02839752,-1.02839752
0x5fe626a85c0b53baa97756ef4369aae213eed4a5,0.0,1.02839746,0.0,-1.02839746,-1.02839746
0x542866e6630151bde21c4c818d2db832fcdd7d62,0.0,1.02839746,0.0,-1.02839746,-1.02839746
0x723791c604cb5b2b7ea36563592aed67bc64db5e,0.0,1.02839746,0.0,-1.02839746,-1.02839746
0xd56ae323a00ca2331b0ef4057aa8f1ea7ee7c509,0.0,1.02839746,0.0,-1.02839746,-1.02839746
0x038592dec9ed62d281d7429829f57166a91200ff,0.0,1.028397455,0.0,-1.028397455,-1.028397455
0x9f10726c86c03d52ac4282c6be991382287711e1,0.0,1.0283974,0.0,-1.0283974,-1.0283974
0x1cc00bf01e45410ac2206eec4c53a7f1617f1034,0.0,1.0283973400000002,0.0,-1.0283973400000002,-1.0283973400000002
0x9322dc32a6e2d177210e89c08c84c003b0029fe1,0.0,1.028397335,0.0,-1.028397335,-1.028397335
0x2776b79ae2ef1aca90894c981a2a27f15daafc8e,0.0,1.02839728,0.0,-1.02839728,-1.02839728
0x93dfc3af653209175709770f5f99809c5c4e90db,0.0,1.02839728,0.0,-1.02839728,-1.02839728
0x7354466591f1eae8fbd60ac6f8eed5a38fe190cf,0.0,1.028397275,0.0,-1.028397275,-1.028397275
0x20753a9f234adaa566ddc036ff54475c2cefadc2,0.0,1.028397275,0.0,-1.028397275,-1.028397275
0xcad230b34232f868eadeab8d07ffd195550556b9,0.0,1.028397275,0.0,-1.028397275,-1.028397275
0x2846763469a6cac98e6450437d51594f3e805773,0.0,1.02839722,0.0,-1.02839722,-1.02839722
0xa035b46cad44841404fc13830815e5a60f7b55e3,0.0,1.028397215,0.0,-1.028397215,-1.028397215
0x1c318464c58afb99c59a0bc6c96f40dd58e6b0ac,0.0,1.028397215,0.0,-1.028397215,-1.028397215
0x0609a7df360fea83f93732110e1e0ff161461837,0.0,1.028397155,0.0,-1.028397155,-1.028397155
0x0da891564e0f61e2e3c2d47dbc3afecaa41ce5d6,0.0,1.028397155,0.0,-1.028397155,-1.028397155
0x6ef6e8bbb5e91692386a94ec11882206197df61f,0.0,1.028397155,0.0,-1.028397155,-1.028397155
0x49649415afd34308ff9c6a9859485416a21c3992,0.0,1.0283971,0.0,-1.0283971,-1.0283971
0xd78bb5593aace1ccb78db43d506e0153c278c6d6,0.0,1.028397095,0.0,-1.028397095,-1.028397095
0xdef00c50ec36d42a87ab7d7fa0d29118709bed11,0.0,1.028397035,0.0,-1.028397035,-1.028397035
0x80399cea39bc50908a3d22a1476ab849eea0ba9d,0.0,1.0283969750000002,0.0,-1.0283969750000002,-1.0283969750000002
0x12c1b5765497a59c59e606bc08300bf614fe3f81,0.0,1.028396975,0.0,-1.028396975,-1.028396975
0x3ac6e91ab7c90f1598511136e8447466caf88a3a,0.0,1.028396915,0.0,-1.028396915,-1.028396915
0x6a69d260870c0b7484426198137f0bc79eef9e32,0.0,1.028396915,0.0,-1.028396915,-1.028396915
0x0fc9e01c38f505a4ef4a2b73907771c95b90654d,0.0,1.028396915,0.0,-1.028396915,-1.028396915
0x9985d4073f168df4c190690e3409d21148d06c49,0.0,1.028396915,0.0,-1.028396915,-1.028396915
0x8c3f517110584ef1e64c25b8255e5352af22ec7c,0.0,1.028396915,0.0,-1.028396915,-1.028396915
0x4240f27b9df221925cceeee87b1b0946ac4bbdc5,0.0,1.028396855,0.0,-1.028396855,-1.028396855
0xe0ae4afc4d64cfa0c5af874d58153d35e152e36e,0.0,1.028396855,0.0,-1.028396855,-1.028396855
0x6fff6f6bccc702ed880b52189683d5d4f0d6d8f3,0.0,1.028396855,0.0,-1.028396855,-1.028396855
0xf23fedc4ca0d90d07ae027e4038ddcbbfb2ad9de,0.0,1.028396855,0.0,-1.028396855,-1.028396855
0x3ea8166a8aae9e9c2858222e6f5e8e3e1c1045f1,0.0,1.028396795,0.0,-1.028396795,-1.028396795
0x5f5dd927ee4c90b7305953d63d1b3b8d0e6bd7ca,0.0,1.028396795,0.0,-1.028396795,-1.028396795
0xd90511449bf724017762c6b095caf30ba95921eb,0.0,1.028396795,0.0,-1.028396795,-1.028396795
0xa3e90bc86d7fea3efc795ae8f1b9fcb49ae5ab25,0.0,1.028396795,0.0,-1.028396795,-1.028396795
0xac6dd15fbcc41ff868e14d5ffe422ee23d6a4bad,0.0,1.028396735,0.0,-1.028396735,-1.028396735
0x62532fc26cb5796bf24b7b191e42547552fe0745,0.0,1.028396735,0.0,-1.028396735,-1.028396735
0x5b1ea90e89081b8c1c059f6ee2e7a0fac9040173,0.0,1.028396735,0.0,-1.028396735,-1.028396735
0xc71ef36909d9428764178141aea89629d4daeab6,0.0,1.028396675,0.0,-1.028396675,-1.028396675
0x26665d1ae29b06d97e5157ce841f7e316bedfc1a,0.0,1.028396675,0.0,-1.028396675,-1.028396675
0x08f264ecf6c8e5a47fcf3d00dc1668adddb9c3d9,0.0,1.028396675,0.0,-1.028396675,-1.028396675
0xf8408c37ecaa4817e6dd626512f308c4ac10a98a,0.0,1.028396615,0.0,-1.028396615,-1.028396615
0xa339af245860932bd7e72375170756089e994cfb,0.0,1.028396615,0.0,-1.028396615,-1.028396615
0x8481d86e2dffe89918eab6d7659124423f9f2a2e,0.0,1.028396615,0.0,-1.028396615,-1.028396615
0x0cc4a0db6c89b98b2fa9cd97a21df16c7d951417,0.0,1.028396615,0.0,-1.028396615,-1.028396615
0x53687d357b5c3c392c281b708b0e77aaa0bf17dc,0.0,1.028396555,0.0,-1.028396555,-1.028396555
0x0c42c836f735187c7ca484f0a4bcfa4e31ef15bf,0.0,1.028396555,0.0,-1.028396555,-1.028396555
0x481abd117f22ae0d417831230ddb8c4e39914e17,0.0,1.028396555,0.0,-1.028396555,-1.028396555
0x9f20d82407ad75934dd256fe8b66f2562721ea57,0.0,1.028396495,0.0,-1.028396495,-1.028396495
0x1cd99f0a0a5aa26f7bc141de3c8dd525f4aa6bf6,0.0,1.02832264,0.0,-1.02832264,-1.02832264
0x0f275e8c83e8587cde15791c67b5da70c44cb851,0.0,1.02832264,0.0,-1.02832264,-1.02832264
0xe1e145e28db1586fe31248cd516af56698ece98c,0.0,1.02832246,0.0,-1.02832246,-1.02832246
0xc7051cd29e436a4d61d2610a73a3edc30c045577,0.0,1.0283224,0.0,-1.0283224,-1.0283224
0x6f53c892b8f0cb6d1bab4614a89dd214c75454af,0.0,1.02832228,0.0,-1.02832228,-1.02832228
0xd3167646154b315d0de6f984d986ebae54866e92,0.0,1.02832216,0.0,-1.02832216,-1.02832216
0x2386f9693249a412d2ee7199034c6f51ca0dd824,1.507863290118506,1.0431187949999998,0.51216605,-0.0474215548814938,0.4647444951185062
0xe5958987facd92a18babba7a98f2565d287b9bfe,0.913618053287916,0.94224498,0.0,-0.0286269267120841,-0.0286269267120841
0x669d8bac33abe6b77af0c334d74c3ec2aed127c7,4.998791879999997,5.0255515399999995,0.0,-0.0267596600000024,-0.0267596600000024
0xf11554e782963b200e18f1a4a118ebc809d9cfe3,0.2984127749999826,0.332555385,0.0,-0.0341426100000173,-0.0341426100000173
0x8740e129aa9c59082a8a2ceb51a573bbd97fae53,1.3984889249998325,1.43255484,0.0,-0.0340659150001676,-0.0340659150001676
0x041b4d0fc463e2a47521f7a82c83e7899d226a57,1.598732295,1.62512005,0.0,-0.026387755,-0.026387755
0x57f03273944a8f53e50977dd76ae97f2100860fb,1.498732295,1.52511981,0.0,-0.0263875150000001,-0.0263875150000001
0xd571a1028dfc0ddaeb71f1ffa620fefca595f1f3,1.3987322949999998,1.4251196899999998,0.0,-0.0263873949999999,-0.0263873949999999
0xaf2672e66c97fffc282476cfd2aa27850bb772bd,1.498736515,1.52511803,0.0,-0.0263815149999999,-0.0263815149999999
0xab26d64627eafb102834134015794da3aafdd933,1.498736775,1.52511797,0.0,-0.0263811949999999,-0.0263811949999999
0x5e1e2f78d63b6295fcaf02230efe4c5fde381d91,1.398736835,1.4251173699999995,0.0,-0.0263805349999997,-0.0263805349999997
0xfe314fae65d5e8c9febb5867da8303d6fab29827,1.9994503699779955,2.02512005,0.0,-0.0256696800220044,-0.0256696800220044
0x074c63d50eeb51c069aadce642da7ef9f8830706,1.3996525299128293,1.42511894,0.0,-0.0254664100871706,-0.0254664100871706
0x0b57e252b311bd0e03e8ea8c2f379ba82a41361f,1.4037489767875575,1.4251196299999995,0.0,-0.021370653212442,-0.021370653212442
0x4b2722ed233a901b58397dd917bef8d69be1bea3,1.404645325764086,1.42511993,0.0,-0.0204746042359138,-0.0204746042359138
0x751e671441a03039212a481f448e25b022c9acf7,1.4065587813659777,1.42511999,0.0,-0.0185612086340225,-0.0185612086340225
0x04772cece3c47445390937ce51417f337035a2ca,1.208088103186021,1.225115675,0.0,-0.0170275718139791,-0.0170275718139791
0x9d1b78a552f450656a7549b2faff5f327eef949d,1.508703653537221,1.5251202300000002,0.0,-0.0164165764627792,-0.0164165764627792
0x5876b0d0656c98c1390db8f6f7ce37f6954afc5d,1.6087416262832877,1.6251167,0.0,-0.0163750737167123,-0.0163750737167123
0xadfbd2cc3d8fceb70c2113ee122335da77291fe2,1.0087464499752472,1.02511987,0.0,-0.0163734200247527,-0.0163734200247527
0x08a34550f79c7b078507dafb2130114228d37af2,1.5087466499834434,1.52512005,0.0,-0.0163734000165565,-0.0163734000165565
0x7f3cd228f7f948d9cf082b29ba47eef8223fe8c6,1.4087467099822697,1.4251195099999998,0.0,-0.0163728000177303,-0.0163728000177303
0x4541f44a3c0b1c97743e85f9e20bea7da1ebb3fb,1.4088260499822696,1.42519315,0.0,-0.0163671000177303,-0.0163671000177303
0x3abbbae112c2345cd3132b4158ecbac41c5d709f,2.0090455835870173,2.02511975,0.0,-0.0160741664129826,-0.0160741664129826
