pool_address,y,x,z,true_profit,naive_profit
0xf3906af9827f8e200f7ab70b986acbdb5059d381,0.0,0.018363771,0.0,-0.018363771,-0.018363771
0xc1ce8f4a6fc0c9019c16afb7a2c3a904cd357c31,0.0,0.018345318,0.0,-0.018345318,-0.018345318
0x714b7b9a33dd45422cb025593783689dbd3d7b49,0.0,0.018265194,0.0,-0.018265194,-0.018265194
0xc503774daf78855159f464327cc2927b41ce2768,0.0,0.017957247,0.0,-0.017957247,-0.017957247
0x5644ed74e5ae160cf430850b04408567690a69ee,0.0,0.016476492,0.0,-0.016476492,-0.016476492
0x076a89b69e850268255266625e255e3c2e819664,0.0,0.016449558,0.0,-0.016449558,-0.016449558
0x67dd29e4ebe4527d258ed9d5b05bfb21df9b4b6b,0.0,0.016265832,0.0,-0.016265832,-0.016265832
