,cluster_id,no of V,no of E,width,len,inputs,outputs,fund_in,fund_out
3296,0x13d62db6d6f3a77be3865e3467a6af10ef50d3f30885dd47e2f56761c797e4c6,4,3,1,3,['0x6aa42230d25c31cfffd8788416bed8a6469b3ea6'],['0xc7d4af3a4f4e9bd423ff97ad74ce94aaff68471e'],1.876436778799957,1.7777494369320985
3297,0xf3bbbb99c936fc80885b15aec7bf04f5089d44ca4b0d08086af8fd4df8d19aaf,2,1,1,1,['0x8ec9d03b4f7ef604d6e35160469877012e75f3af'],['0x5ab4f055711f3a26425f7480aea5d21b9f126ccf'],6.0,6.0
3298,0xa0697ee20b9b4c8fb330c2403b7d84a53602145f42c79eda8127607089b2bcf5,2,1,1,1,['0xd861c0d4703db20c87747ac55816c0f2477b9891'],['0x641d5143838fb0e7f9957215ff29324b2e991e45'],4.783521725758241,4.783521725758241
3299,0x0c5401d9e7f33eae7c3b45bee287a2e81884fa4536add1477f592064a027f754,2,1,1,1,['0x771a1b0c8c40bbba6e3d9e8c2cbacbec190d9c8b'],['0x9c08d27ceab048d18b93e4226d2aefdd32c695e1'],274.98746125074257,274.98746125074257
3300,0xf19673bf44ab3d7346e88d00c327c7932f8e5e4784526e200bb918dbc6561e96,2,1,1,1,['0xe71bd4c7b0e87762b4126e059c02f825db99ebc7'],['0xa9468e354ba1d1dae7784f295fef30d87d15c32c'],6.5359029536099165,6.5359029536099165
3301,0x9bd8cd192e6f136f58b8958fd4eea7bd11c79cdb453999594375ec625a95c4c3,2,1,1,1,['0x341fcf635abea7806d49a6b0840b175812cd1935'],['0x39efbcbceb6b66a5fb95db7b4d4f14bc7ca32437'],30.545,30.545
3302,0x5e6edb3f85af8686a9950cc39c0dedd644b35a1dc3baf256d77eb7d8fa05d2da,2,1,1,1,['0x107a3fab5557f4dd075b5390714137b34273f5aa'],['0x21abf2cff190f4c044c325a2a0e2309d81201859'],1.453351888007077,1.453351888007077
3303,0x31bb4eeabd03a43c72c2e03b727173783115e9576b2c0b8f84ec8243041273cd,3,2,2,1,"['0xaaecccadb554965b4d163d7504f8b9134112196e', '0xedb58eb4bde49926f99d15c77c0c26ea1e4b4741']","['0xd71f8474d6d75c99f8c078c4eed8907b8082dc29', '0xaaecccadb554965b4d163d7504f8b9134112196e']",0.6609475369458884,0.36094753694588844
3304,0xbeedc14b23ad2d82f95f8ea9996cee86a36c43186dd5b9cea1fb8d46ec1426fa,2,2,2,1,['0x31ca9cdb21ca6a257d7fbd69103edd8f14121f3c'],['0xb2b1f0de0b5bcb234d4c60378a5bbd2c8acc3096'],10.411496248348953,7.0
3305,0x86bb74f7a4ee14035899f0565a0d5388f2ba0a79b90b68563bbbfde3d5aca710,2,1,1,1,['0x6ba8228770a169204a34a239656957e7e666dab9'],['0xa57e280d6a88c8774289bb744e0a751a777c88eb'],1.7898899585711503,1.7898899585711503
3306,0x92d867e6c488277b43b8f07e27fe7aa48359654576beae210d91695912a30856,2,1,1,1,['0x2194ea939fca95f0b2ef184fc0ce3d92dffba832'],['0xddaa9d1d9e0c64ef7c89548c5de274c878387354'],1.0,1.0
3307,0x28fbf6cb4b63c2dbb9fb6e79ebad1ebd56d8f59cd1b9bb40e0bfe798eb2059d5,3,2,1,2,['0xea226fac213fb2c502d335d9648c79ba8bb83fd0'],['0xaf5eefdf16a931d6bf2d214755213864d9acdc76'],28.03999357913673,63.101618785922135
3308,0xde99ec0fb4dae63f6ca166f4268e4e3838003a33975461cb3ae14ca64fcb0960,2,1,1,1,['0xd04548bc16d34524c0380dee777735044ed3a04b'],['0x465b6e3d86c9ff873a9c6068cd168eec1718dc86'],88.0,88.0
3309,0x1f29748de8e7f44ed563be81fd4421f67ac7cb3582653d2be712dd6aca6267be,2,1,1,1,['0x52f77ba49910d683294581a9bac310bcc17e047c'],['0xf72eddd1c4b994b3119a4c736e3de0475bfb6871'],8.806683979417821,8.806683979417821
3310,0x90b435a44e32b4aca8ca4792ba70df166c5aa8ffea358c743ecb6eb4fe55e237,2,1,1,1,['0xfb177eccba9470432515f11ee9f17586712aa3ab'],['0xc779f9d14356683d6ab9502936bae1178873d5eb'],26.143004739016973,26.143004739016973
3311,0x3e82c9a11dd56eaf6785558ceb791f59af63055c2da39776998d925e28401784,3,2,2,1,"['0x1b185750b7ca3bc959586467bd2c09aa6366684a', '0x3419e323a4b6276b05cb9bac4d0b23ff3884cb1d']","['0x4a723d7aff653004411e93f7da60133b373d4bbd', '0x3419e323a4b6276b05cb9bac4d0b23ff3884cb1d']",5.3,3.3
3312,0x8b43101fe20f5b9ad618a30f8f0b209c2b666bbb8edee4ac1c644c58fe9734c2,2,1,1,1,['0x993e20ef9e817a304d3cf88ce2b7bfcaad6c0e9c'],['0xf48fcb5ee16d06dd11efcd0b8f9b0ebec6c16bfc'],7.019298289021889,7.019298289021889
3313,0x16cf3fb7344c070ac4f5e1dea56ea42cdee71f1dfb115fdd0e7999e7c51b3957,3,2,1,2,['0x37cc821cf33caf9bd9f1fcedd9d510e236067b00'],['0x400286455c5d1422ecb4fb2afd37952a7348b4bb'],3.6591476437661963,3.0
3314,0xc8c7db06ac84a61ddb9352c8e366579b3bfc5a5544d4bead9bf469e42db446fc,2,2,2,1,['0x2a0ac69497b9f0b592da5f177a6376ae235af918'],['0xe763788baef56b235f3584ca5eaf2f4dc6bde2d0'],7.875690329999999,4.0
